Order_ID,Customer_Region,Product_Category,Order_Date,Ship_Date,Delivery_Date,Shipping_Mode,Shipping_Cost,Delivery_Status,Delivery_Days
OR10066,South,Electronics,12/14/2025,12/14/2025,12/20/2025,Standard,90.0,Delivered,6
OR10067,South,Electronics,4/7/2022,4/7/2022,4/13/2022,Standard,79.0,Delivered,6
OR10068,West,Home,8/10/2025,8/11/2025,8/16/2025,Standard,61.0,Returned,5
OR10069,West,Beauty,7/27/2024,8/1/2024,8/11/2024,Standard,95.0,Delivered,10
OR10070,North,Fashion,9/9/2022,9/9/2022,9/15/2022,Express,97.0,Returned,6
OR10071,Central,Grocery,1/3/2023,1/6/2023,1/9/2023,Standard,100.0,Delayed,3
OR10072,Central,Beauty,2/10/2022,2/11/2022,2/14/2022,Standard,52.0,Delivered,3
OR10073,South,Grocery,8/16/2025,8/18/2025,8/21/2025,Standard,115.0,Delivered,3
OR10074,Central,Sports,2/24/2024,2/24/2024,3/5/2024,Same Day,215.0,Delivered,10
OR10075,South,Grocery,11/4/2022,11/7/2022,,Standard,51.0,Delivered,8
OR10076,North,Grocery,8/15/2025,8/17/2025,8/27/2025,Same Day,362.0,Delivered,10
OR10077,West,Electronics,1/1/2022,1/5/2022,1/9/2022,Standard,76.0,Delayed,4
OR10078,West,Electronics,4/3/2022,4/4/2022,4/7/2022,Standard,121.0,Delayed,3
OR10079,West,Electronics,10/8/2022,10/9/2022,10/19/2022,Express,81.0,Delivered,10
OR10080,Central,Grocery,4/3/2023,4/4/2023,4/6/2023,Standard,92.0,Delayed,2
OR10081,North,Sports,5/3/2023,5/5/2023,5/9/2023,Standard,74.0,Delivered,4
OR10082,Central,Fashion,4/1/2024,4/2/2024,4/1/2024,Standard,97.0,Delivered,-1
OR10083,Central,Home,4/25/2024,4/26/2024,5/3/2024,Standard,130.0,Delayed,7
OR10084,North,Sports,2/11/2023,2/13/2023,2/15/2023,Standard,138.0,Delivered,2
OR10085,North,Electronics,7/22/2025,7/25/2025,7/28/2025,Standard,133.0,Delivered,3
OR10086,North,Sports,7/15/2024,7/19/2024,7/29/2024,Standard,52.0,Delivered,10
OR10087,North,Fashion,5/2/2023,5/6/2023,5/14/2023,Standard,82.0,Delivered,8
OR10088,West,Beauty,1/31/2025,2/5/2025,2/8/2025,Express,246.0,Delivered,3
OR10089,East,Electronics,3/16/2024,3/16/2024,3/21/2024,Standard,72.0,Delivered,5
OR10090,East,Fashion,11/27/2025,12/1/2025,12/8/2025,Standard,122.0,Delayed,7
OR10091,North,Beauty,2/4/2025,2/5/2025,2/11/2025,Standard,115.0,Delivered,6
OR10092,East,Home,11/9/2025,11/11/2025,11/13/2025,Express,225.0,Delivered,2
OR10093,East,Sports,8/18/2022,8/18/2022,8/26/2022,Standard,100.0,Delayed,8
OR10094,North,Home,5/13/2025,5/15/2025,5/17/2025,Standard,139.0,Delivered,2
OR10095,East,Grocery,11/1/2025,11/2/2025,11/10/2025,Standard,129.0,Delivered,8
OR10096,Central,Sports,6/27/2022,7/2/2022,7/6/2022,Standard,87.0,Delivered,4
OR10097,South,Beauty,4/8/2022,4/12/2022,4/17/2022,Standard,51.0,Delivered,5
OR10098,South,Grocery,7/24/2023,7/25/2023,8/1/2023,Standard,103.0,Returned,7
OR10099,North,Fashion,12/3/2022,12/5/2022,12/14/2022,Standard,114.0,Returned,9
OR10100,West,Grocery,7/16/2024,7/16/2024,7/25/2024,Express,101.0,Delivered,9
OR10101,North,Beauty,6/26/2022,6/30/2022,7/3/2022,Express,108.0,Delivered,3
OR10102,West,Beauty,9/2/2023,9/6/2023,9/9/2023,Standard,148.0,Delivered,3
OR10103,South,Fashion,1/7/2024,1/8/2024,1/11/2024,Standard,110.0,Delivered,3
OR10104,North,Home,1/18/2024,1/22/2024,1/30/2024,Standard,71.0,Delivered,8
OR10105,Central,Electronics,1/20/2025,1/21/2025,1/24/2025,Same Day,364.0,Delivered,3
OR10106,East,Home,7/28/2024,7/31/2024,8/2/2024,Express,248.0,Delivered,2
OR10107,West,Grocery,9/8/2022,9/13/2022,9/19/2022,Standard,59.0,Delivered,6
OR10108,East,Fashion,10/12/2025,10/13/2025,10/19/2025,Express,111.0,Delivered,6
OR10109,East,Grocery,8/4/2022,8/9/2022,8/19/2022,Express,108.0,Delivered,10
OR10110,North,Beauty,3/8/2023,3/12/2023,3/22/2023,Standard,86.0,Delivered,10
OR10111,East,Electronics,6/22/2023,6/25/2023,7/5/2023,Standard,90.0,Delayed,10
OR10112,Central,Sports,3/4/2025,3/9/2025,3/13/2025,Express,130.0,Delayed,4
OR10113,East,Sports,12/3/2024,12/7/2024,12/12/2024,Same Day,221.0,Delivered,5
OR10114,North,Sports,2/21/2022,2/26/2022,3/7/2022,Standard,134.0,Delayed,9
OR10115,Central,Grocery,11/3/2023,11/5/2023,11/13/2023,Standard,132.0,Delayed,5
OR10116,South,Sports,12/16/2023,12/21/2023,12/23/2023,Express,219.0,Delivered,2
OR10117,East,Fashion,3/16/2022,3/18/2022,3/23/2022,Standard,138.0,Delivered,5
OR10118,North,Electronics,5/1/2024,5/4/2024,5/8/2024,Standard,67.0,Delivered,4
OR10119,South,Beauty,4/23/2025,4/23/2025,4/29/2025,Express,223.0,Delayed,6
OR10120,South,Home,2/21/2022,2/23/2022,2/27/2022,Same Day,280.0,Delivered,4
OR10121,West,Beauty,7/18/2024,7/22/2024,7/27/2024,Standard,104.0,Delayed,5
OR10122,Central,Fashion,8/27/2022,8/27/2022,9/3/2022,Standard,143.0,Delayed,7
OR10123,East,Electronics,9/18/2023,9/20/2023,9/28/2023,Standard,95.0,Delivered,8
OR10124,North,Home,12/21/2024,12/23/2024,1/2/2025,Standard,138.0,Delayed,10
OR10125,West,Sports,1/28/2024,1/29/2024,2/6/2024,Standard,88.0,Delivered,8
OR10126,Central,Home,12/27/2023,12/31/2023,1/3/2024,Standard,51.0,Delivered,3
OR10127,West,Grocery,9/9/2024,9/13/2024,9/15/2024,Express,216.0,Delivered,2
OR10128,Central,Grocery,9/15/2024,9/17/2024,9/27/2024,Express,154.0,Delivered,10
OR10129,Central,Sports,11/28/2022,12/3/2022,12/6/2022,Standard,139.0,Delivered,3
OR10130,East,Sports,6/8/2022,6/8/2022,6/16/2022,Standard,80.0,Delivered,8
OR10131,Central,Fashion,2/17/2023,2/18/2023,2/23/2023,Standard,137.0,Returned,5
OR10132,West,Fashion,10/14/2022,10/15/2022,10/20/2022,Express,119.0,Delivered,5
OR10133,Central,Beauty,6/8/2023,6/13/2023,6/18/2023,Standard,100.0,Delivered,5
OR10134,East,Grocery,9/28/2024,9/28/2024,10/3/2024,Standard,101.0,Delayed,5
OR10135,East,Electronics,10/11/2024,10/12/2024,10/22/2024,Standard,128.0,Delivered,10
OR10136,West,Fashion,11/9/2022,11/10/2022,11/20/2022,Standard,94.0,Delayed,10
OR10137,South,Electronics,1/27/2022,1/29/2022,2/4/2022,Standard,139.0,Delivered,6
OR10138,South,Beauty,4/18/2024,4/19/2024,4/26/2024,Express,199.0,Delayed,7
OR10139,Central,Grocery,10/21/2025,10/22/2025,10/29/2025,Express,132.0,Delivered,7
OR10140,North,Fashion,2/12/2023,2/12/2023,2/15/2023,Express,175.0,Delivered,3
OR10141,Central,Electronics,12/4/2022,12/5/2022,12/15/2022,Express,217.0,Returned,10
OR10142,West,Beauty,2/12/2023,2/12/2023,2/18/2023,Express,248.0,Delivered,6
OR10143,West,Electronics,1/4/2025,1/9/2025,1/12/2025,Standard,129.0,Delivered,3
OR10144,West,Fashion,3/16/2022,3/18/2022,3/23/2022,Standard,90.0,Delivered,5
OR10145,West,Sports,9/16/2022,9/16/2022,9/25/2022,Standard,77.0,Delivered,9
OR10146,West,Beauty,12/23/2022,12/24/2022,1/2/2023,Express,99.0,Delivered,9
OR10147,East,Beauty,10/12/2022,10/17/2022,10/20/2022,Standard,58.0,Delivered,3
OR10148,South,Home,12/10/2025,12/10/2025,12/14/2025,Standard,70.0,Delivered,4
OR10149,West,Sports,12/13/2024,12/15/2024,12/17/2024,Standard,130.0,Delivered,2
OR10150,North,Beauty,12/16/2025,12/21/2025,12/27/2025,Standard,61.0,Delivered,6
OR10151,North,Home,5/31/2025,5/31/2025,6/6/2025,Standard,90.0,Delivered,6
OR10152,North,Electronics,4/12/2024,4/16/2024,4/21/2024,Standard,55.0,Delivered,5
OR10153,North,Fashion,1/11/2024,1/16/2024,1/26/2024,Standard,79.0,Delivered,10
OR10154,East,Beauty,1/16/2024,1/17/2024,1/21/2024,Express,89.0,Delivered,4
OR10155,North,Grocery,9/3/2022,9/5/2022,9/14/2022,Standard ,93.0,Delivered,9
OR10156,West,Fashion,8/12/2024,8/17/2024,8/22/2024,Express,200.0,Delivered,5
OR10157,Central,Sports,4/3/2023,4/5/2023,4/13/2023,Express,142.0,Delivered,8
OR10158,North,Home,7/2/2022,7/5/2022,7/9/2022,Express,184.0,Delivered,4
OR10159,East,Fashion,9/16/2022,9/20/2022,9/27/2022,Standard,106.0,Delivered,7
OR10160,East,Home,6/4/2024,6/5/2024,6/7/2024,Standard,146.0,Delivered,2
OR10161,North,Sports,9/27/2022,10/2/2022,10/10/2022,Standard,131.0,Delayed,8
OR10162,Central,Sports,3/23/2024,3/25/2024,3/29/2024,Express,164.0,Delivered,4
OR10163,North,Fashion,9/13/2023,9/18/2023,9/23/2023,Standard,98.0,Delivered,5
OR10164,East,Beauty,12/17/2022,12/22/2022,12/27/2022,Standard,116.0,Delivered,5
OR10165,South,Grocery,4/26/2025,5/1/2025,5/8/2025,Express,147.0,Delivered,7
OR10166,West,Beauty,5/17/2023,5/22/2023,6/1/2023,Standard,107.0,Delivered,10
OR10167,East,Grocery,4/15/2025,4/20/2025,4/26/2025,Same Day,300.0,Delivered,6
OR10168,North,Home,11/17/2025,11/17/2025,11/27/2025,Express,164.0,Delivered,10
OR10169,West,Fashion,4/17/2024,4/18/2024,4/25/2024,Standard,97.0,Delivered,7
OR10170,North,Electronics,10/18/2024,10/20/2024,10/22/2024,Standard,100.0,Delivered,2
OR10171,North,Sports,10/4/2025,10/5/2025,10/12/2025,Standard,52.0,Delivered,7
OR10172,South,Beauty,12/22/2024,12/26/2024,1/3/2025,Same Day,317.0,Delayed,8
OR10173,West,Home,6/29/2022,7/3/2022,7/8/2022,Express,120.0,Delivered,5
OR10174,West,Sports,8/27/2025,8/29/2025,8/31/2025,Express,83.0,Delivered,2
OR10175,South,Home,9/17/2023,9/21/2023,9/24/2023,Express,97.0,Delivered,3
OR10176,East,Fashion,2/7/2025,2/12/2025,2/20/2025,Standard,85.0,Delivered,8
OR10177,North,Home,5/30/2023,6/4/2023,6/12/2023,Express,162.0,Delivered,8
OR10178,Central,Home,9/15/2022,9/19/2022,9/27/2022,Express,206.0,Delivered,8
OR10179,North,Electronics,6/24/2023,6/27/2023,6/30/2023,Standard,129.0,Delivered,3
OR10180,North,Home,2/25/2023,2/26/2023,3/3/2023,Standard,139.0,Delayed,5
OR10181,East,Grocery,9/5/2022,9/6/2022,9/13/2022,Standard,81.0,Delivered,7
OR10182,North,Home,10/29/2024,10/30/2024,11/9/2024,Standard,142.0,Delivered,10
OR10183,South,Home,8/4/2025,8/5/2025,8/11/2025,Standard,139.0,Delivered,6
OR10184,South,Fashion,4/10/2023,4/15/2023,4/25/2023,Standard,82.0,Delayed,10
OR10185,West,Home,1/3/2025,1/6/2025,1/11/2025,Same Day,269.0,Delivered,5
OR10186,Central,Electronics,4/12/2022,4/13/2022,4/22/2022,Standard,133.0,Delivered,9
OR10187,North,Fashion,5/26/2023,5/30/2023,6/4/2023,Express,81.0,Delivered,5
OR10188,North,Sports,10/18/2022,10/23/2022,10/29/2022,Standard,113.0,Delivered,6
OR10189,East,Grocery,5/3/2022,5/7/2022,5/15/2022,Standard,65.0,Delivered,8
OR10190,South,Grocery,3/6/2023,3/10/2023,3/17/2023,Standard,68.0,Delayed,7
OR10191,Central,Sports,9/1/2025,9/3/2025,9/8/2025,Standard,51.0,Delivered,5
OR10192,West,Home,2/18/2025,2/22/2025,3/2/2025,Standard,109.0,Delivered,8
OR10193,South,Electronics,8/20/2022,8/20/2022,8/28/2022,Express,209.0,Delivered,8
OR10194,West,Electronics,11/12/2024,11/15/2024,11/19/2024,Standard,78.0,Delivered,4
OR10195,East,Electronics,4/7/2023,4/12/2023,4/15/2023,Express,249.0,Delayed,3
OR10196,East,Electronics,8/12/2023,8/17/2023,8/26/2023,Express,119.0,Delayed,9
OR10197,North,Home,8/8/2024,8/8/2024,8/17/2024,Standard,56.0,Delayed,9
OR10198,Central,Sports,8/8/2025,8/13/2025,8/17/2025,Standard,67.0,Delivered,4
OR10199,West,Sports,12/29/2023,1/2/2024,1/10/2024,Standard,57.0,Delivered,8
OR10200,South,Grocery,9/1/2023,9/4/2023,9/14/2023,Standard,79.0,Delivered,10
OR10201,East,Sports,5/30/2024,6/2/2024,6/12/2024,Standard,131.0,Delivered,10
OR10202,North,Electronics,7/18/2022,7/19/2022,7/24/2022,Standard,137.0,Delivered,5
OR10203,North,Home,5/17/2022,5/20/2022,5/27/2022,Express,188.0,Delivered,7
OR10204,West,Fashion,10/25/2025,10/29/2025,11/4/2025,Same Day,389.0,Delivered,6
OR10205,East,Fashion,1/21/2022,1/26/2022,2/5/2022,Express,150.0,Delivered,10
OR10206,Central,Electronics,6/9/2022,6/9/2022,6/15/2022,Standard,59.0,Delivered,6
OR10207,East,Beauty,11/18/2022,11/21/2022,12/1/2022,Standard,144.0,Delivered,10
OR10208,West,Grocery,10/27/2022,10/28/2022,11/5/2022,Express,134.0,Delivered,8
OR10209,West,Fashion,9/25/2023,9/30/2023,10/6/2023,Standard,120.0,Delayed,6
OR10210,East,Beauty,12/6/2023,12/10/2023,12/13/2023,Standard,140.0,Delivered,3
OR10211,West,Electronics,4/4/2023,4/5/2023,4/15/2023,Standard ,98.0,Delivered,10
OR10212,East,Home,9/21/2025,9/22/2025,9/30/2025,Express,153.0,Delayed,8
OR10213,South,Fashion,12/28/2023,12/31/2023,1/4/2024,Express,156.0,Delivered,4
OR10214,East,Electronics,10/17/2023,10/18/2023,10/27/2023,Standard,70.0,Delivered,9
OR10215,East,Fashion,10/29/2023,11/1/2023,11/11/2023,Express,146.0,Delivered,10
OR10216,West,Home,1/16/2022,1/17/2022,1/21/2022,Same Day,249.0,Returned,4
OR10217,West,Sports,10/29/2022,10/31/2022,11/10/2022,Standard,71.0,Delivered,10
OR10218,North,Sports,10/14/2025,10/19/2025,10/21/2025,Standard,52.0,Delivered,2
OR10219,North,Home,8/1/2024,8/6/2024,8/12/2024,Standard,126.0,Delivered,6
OR10220,South,Home,1/19/2022,1/23/2022,2/1/2022,Express,198.0,Delivered,9
OR10221,North,Sports,8/25/2023,8/28/2023,,Standard,121.0,Delivered,8
OR10222,East,Home,11/5/2022,11/8/2022,11/13/2022,Standard,80.0,Delayed,5
OR10223,West,Home,2/16/2022,2/20/2022,2/22/2022,Standard,82.0,Delivered,2
OR10224,North,Home,5/11/2022,5/14/2022,5/16/2022,Standard,77.0,Delayed,2
OR10225,North,Sports,3/29/2022,4/2/2022,4/10/2022,Same Day,295.0,Delivered,8
OR10226,South,Sports,12/8/2022,12/8/2022,12/15/2022,Standard,71.0,Delayed,7
OR10227,South,Beauty,3/3/2022,3/5/2022,3/11/2022,Standard,113.0,Delivered,6
OR10228,east,Fashion,5/9/2022,5/12/2022,5/20/2022,Standard,107.0,Delivered,8
OR10229,West,Sports,2/8/2022,2/13/2022,2/20/2022,Express,175.0,Delayed,7
OR10230,South,Fashion,3/30/2025,3/30/2025,4/3/2025,Standard,58.0,Delivered,4
OR10231,North,Sports,3/1/2024,3/6/2024,,Express,237.0,Delivered,3
OR10232,West,Grocery,12/8/2024,12/13/2024,12/15/2024,Standard,132.0,Delivered,2
OR10233,West,Fashion,9/29/2023,10/4/2023,10/14/2023,Express,205.0,Delivered,10
OR10234,North,Home,8/2/2024,8/7/2024,8/17/2024,Standard,110.0,Delivered,10
OR10235,South,Grocery,1/9/2024,1/11/2024,1/14/2024,Express,157.0,Delivered,3
OR10236, North,Beauty,8/21/2025,8/22/2025,8/30/2025,Standard,133.0,Delivered,8
OR10237,West,Sports,1/29/2023,2/3/2023,2/12/2023,Express,242.0,Delayed,9
OR10238,Central,Sports,12/18/2022,12/20/2022,12/23/2022,Standard,103.0,Delivered,3
OR10239,Central,Beauty,4/13/2024,4/18/2024,4/21/2024,Express,150.0,Delivered,3
OR10240,East,Grocery,3/12/2022,3/15/2022,3/19/2022,Standard,95.0,Delivered,4
OR10241,North,Electronics,9/10/2024,9/11/2024,9/19/2024,Same Day,330.0,Delivered,8
OR10242,North,Home,2/8/2022,2/9/2022,2/18/2022,Express,220.0,Delivered,9
OR10243,East,Fashion,7/26/2024,7/26/2024,8/3/2024,Express,120.0,Delayed,8
OR10244,East,Grocery,1/28/2025,2/1/2025,2/5/2025,Standard,144.0,Delivered,4
OR10245,East,Fashion,5/28/2023,5/28/2023,6/6/2023,Standard,99.0,Delivered,9
OR10246,West,Sports,11/7/2023,11/8/2023,11/10/2023,Same Day,283.0,Delivered,2
OR10247,North,Electronics,9/13/2024,9/15/2024,9/22/2024,Standard,55.0,Delivered,7
OR10248,West,Beauty,11/15/2023,11/18/2023,11/28/2023,Express,97.0,Delivered,10
OR10249,East,Electronics,1/25/2025,1/30/2025,2/7/2025,Express,187.0,Delayed,8
OR10250,North,Fashion,9/14/2023,9/14/2023,9/17/2023,Standard,71.0,Delivered,3
OR10251,West,Beauty,11/29/2023,11/30/2023,12/2/2023,Standard,129.0,Delivered,2
OR10252,West,Sports,9/18/2024,9/20/2024,9/29/2024,Same Day,364.0,Delayed,9
OR10253,East,Beauty,11/12/2025,11/13/2025,11/17/2025,Standard,131.0,Delivered,4
OR10254,North,Beauty,5/27/2023,5/27/2023,6/2/2023,Standard,112.0,Delivered,6
OR10255,East,Electronics,12/12/2024,12/16/2024,12/22/2024,Standard,139.0,Delivered,6
OR10256,North,Home,4/18/2023,4/19/2023,4/29/2023,Express,91.0,Delivered,10
OR10257,Central,Sports,7/4/2022,7/9/2022,7/18/2022,Standard,118.0,Delivered,9
OR10258,South,Grocery,7/20/2022,7/22/2022,7/25/2022,Express,100.0,Delayed,3
OR10259,South,Grocery,3/19/2022,3/20/2022,3/23/2022,Express,104.0,Delivered,3
OR10260,South,Grocery,9/5/2022,9/5/2022,9/11/2022,Standard,107.0,Delivered,6
OR10261,East,Home,12/28/2025,12/31/2025,1/6/2026,Express,103.0,Delivered,6
OR10262,Central,Sports,2/12/2024,2/17/2024,2/25/2024,Standard,53.0,Delayed,8
OR10263,North,Beauty,3/30/2024,4/2/2024,4/11/2024,Standard,144.0,Delayed,9
OR10264,West,Fashion,7/1/2024,7/6/2024,7/11/2024,Standard,$ 58.00,Delivered,5
OR10265,North,Fashion,2/1/2022,2/2/2022,2/6/2022,Standard,137.0,Delivered,4
OR10266,West,Sports,3/29/2023,4/1/2023,4/6/2023,standard,51.0,Delivered,5
OR10267,North,Home,1/16/2023,1/21/2023,1/25/2023,Express,192.0,Delivered,4
OR10268,Central,Sports,8/14/2024,8/17/2024,8/27/2024,Standard,83.0,Delivered,10
OR10269,West,Fashion,11/18/2025,11/23/2025,11/25/2025,Express,225.0,Delivered,2
OR10270,East,Sports,2/11/2023,2/14/2023,2/20/2023,Standard,56.0,Delayed,6
OR10271,North,Grocery,5/30/2024,5/30/2024,6/2/2024,Express,85.0,Delivered,3
OR10272, North,Beauty,4/19/2025,4/24/2025,4/30/2025,Standard,137.0,Delivered,6
OR10273,West,Sports,11/13/2022,11/17/2022,11/25/2022,Express,211.0,Delivered,8
OR10274,East,Beauty,10/21/2023,10/26/2023,10/30/2023,Standard,82.0,Returned,4
OR10275,East,Electronics,7/30/2024,8/4/2024,8/8/2024,Standard,73.0,Delivered,4
OR10276,Central,Sports,11/3/2023,11/3/2023,11/8/2023,Standard,57.0,Returned,5
OR10277,East,Fashion,8/18/2025,8/18/2025,8/23/2025,Standard,145.0,Delivered,5
OR10278,East,Fashion,7/28/2023,8/1/2023,8/9/2023,Standard,91.0,Delivered,8
OR10279,East,Beauty,5/9/2024,5/11/2024,5/14/2024,Standard,112.0,Delivered,3
OR10280,South,Fashion,8/26/2025,8/28/2025,9/6/2025,Same Day,325.0,Delivered,9
OR10281,Central,Grocery,12/28/2023,1/1/2024,1/9/2024,Standard,90.0,Delayed,8
OR10282,North,Fashion,3/2/2024,3/7/2024,3/14/2024,Express,218.0,Delivered,7
OR10283,West,Electronics,6/14/2023,6/14/2023,6/20/2023,Standard,119.0,Delivered,6
OR10284,North,Sports,1/23/2024,1/27/2024,2/4/2024,Standard,91.0,Delivered,8
OR10285,Central,Home,7/14/2023,7/16/2023,7/26/2023,Standard,65.0,Returned,10
OR10286,West,Fashion,7/14/2023,7/18/2023,7/21/2023,Express,177.0,Delivered,3
OR10287,Central,Sports,4/9/2024,4/13/2024,4/20/2024,Standard,68.0,Delivered,7
OR10288,East,Grocery,6/17/2025,6/22/2025,6/25/2025,Express,235.0,Delivered,3
OR10289,West,Sports,8/10/2022,8/12/2022,8/16/2022,Same Day,229.0,Delayed,4
OR10290,East,Fashion,1/12/2024,1/15/2024,1/25/2024,Express,234.0,Delivered,10
OR10291,North,Fashion,1/30/2025,2/3/2025,2/10/2025,Same Day,302.0,Delivered,7
OR10292,North,Beauty,1/16/2023,1/17/2023,1/24/2023,Same Day,385.0,Delivered,7
