,Order_ID,Customer_Region,Product_Category,Order_Date,Ship_Date,Delivery_Date,Shipping_Mode,Shipping_Cost,Delivery_Status,Delivery_Days
72,OR10072,Central,Beauty,2022-02-10,2022-02-11,2022-02-14,Standard,52.0,Delivered,3
73,OR10073,South,Grocery,2025-08-16,2025-08-18,2025-08-21,Standard,115.0,Delivered,3
74,OR10074,Central,Sports,2024-02-24,2024-02-24,2024-03-05,Same Day,215.0,Delivered,10
75,OR10075,South,Grocery,2022-11-04,2022-11-07,,Standard,51.0,Delivered,8
76,OR10076,North,Grocery,2025-08-15,2025-08-17,2025-08-27,Same Day,362.0,Delivered,10
77,OR10077,West,Electronics,2022-01-01,2022-01-05,2022-01-09,Standard,76.0,Delayed,4
78,OR10078,West,Electronics,2022-04-03,2022-04-04,2022-04-07,Standard,121.0,Delayed,3
79,OR10079,West,Electronics,2022-10-08,2022-10-09,2022-10-19,Express,81.0,Delivered,10
80,OR10080,Central,Grocery,2023-04-03,2023-04-04,2023-04-06,Standard,92.0,Delayed,2
81,OR10081,North,Sports,2023-05-03,2023-05-05,2023-05-09,Standard,74.0,Delivered,4
83,OR10083,Central,Home,2024-04-25,2024-04-26,2024-05-03,Standard,130.0,Delayed,7
84,OR10084,North,Sports,2023-02-11,2023-02-13,2023-02-15,Standard,138.0,Delivered,2
85,OR10085,North,Electronics,2025-07-22,2025-07-25,2025-07-28,Standard,133.0,Delivered,3
86,OR10086,North,Sports,2024-07-15,2024-07-19,2024-07-29,Standard,52.0,Delivered,10
87,OR10087,North,Fashion,2023-05-02,2023-05-06,2023-05-14,Standard,82.0,Delivered,8
88,OR10088,West,Beauty,2025-01-31,2025-02-05,2025-02-08,Express,246.0,Delivered,3
89,OR10089,East,Electronics,2024-03-16,2024-03-16,2024-03-21,Standard,72.0,Delivered,5
90,OR10090,East,Fashion,2025-11-27,2025-12-01,2025-12-08,Standard,122.0,Delayed,7
91,OR10091,North,Beauty,2025-02-04,2025-02-05,2025-02-11,Standard,115.0,Delivered,6
92,OR10092,East,Home,2025-11-09,2025-11-11,2025-11-13,Express,225.0,Delivered,2
93,OR10093,East,Sports,2022-08-18,2022-08-18,2022-08-26,Standard,100.0,Delayed,8
94,OR10094,North,Home,2025-05-13,2025-05-15,2025-05-17,Standard,139.0,Delivered,2
95,OR10095,East,Grocery,2025-11-01,2025-11-02,2025-11-10,Standard,129.0,Delivered,8
96,OR10096,Central,Sports,2022-06-27,2022-07-02,2022-07-06,Standard,87.0,Delivered,4
97,OR10097,South,Beauty,2022-04-08,2022-04-12,2022-04-17,Standard,51.0,Delivered,5
98,OR10098,South,Grocery,2023-07-24,2023-07-25,2023-08-01,Standard,103.0,Returned,7
99,OR10099,North,Fashion,2022-12-03,2022-12-05,2022-12-14,Standard,114.0,Returned,9
100,OR10100,West,Grocery,2024-07-16,2024-07-16,2024-07-25,Express,101.0,Delivered,9
101,OR10101,North,Beauty,2022-06-26,2022-06-30,2022-07-03,Express,108.0,Delivered,3
102,OR10102,West,Beauty,2023-09-02,2023-09-06,2023-09-09,Standard,148.0,Delivered,3
103,OR10103,South,Fashion,2024-01-07,2024-01-08,2024-01-11,Standard,110.0,Delivered,3
104,OR10104,North,Home,2024-01-18,2024-01-22,2024-01-30,Standard,71.0,Delivered,8
105,OR10105,Central,Electronics,2025-01-20,2025-01-21,2025-01-24,Same Day,364.0,Delivered,3
106,OR10106,East,Home,2024-07-28,2024-07-31,2024-08-02,Express,248.0,Delivered,2
107,OR10107,West,Grocery,2022-09-08,2022-09-13,2022-09-19,Standard,59.0,Delivered,6
108,OR10108,East,Fashion,2025-10-12,2025-10-13,2025-10-19,Express,111.0,Delivered,6
109,OR10109,East,Grocery,2022-08-04,2022-08-09,2022-08-19,Express,108.0,Delivered,10
110,OR10110,North,Beauty,2023-03-08,2023-03-12,2023-03-22,Standard,86.0,Delivered,10
111,OR10111,East,Electronics,2023-06-22,2023-06-25,2023-07-05,Standard,90.0,Delayed,10
112,OR10112,Central,Sports,2025-03-04,2025-03-09,2025-03-13,Express,130.0,Delayed,4
113,OR10113,East,Sports,2024-12-03,2024-12-07,2024-12-12,Same Day,221.0,Delivered,5
114,OR10114,North,Sports,2022-02-21,2022-02-26,2022-03-07,Standard,134.0,Delayed,9
115,OR10115,Central,Grocery,2023-11-03,2023-11-05,2023-11-13,Standard,132.0,Delayed,5
116,OR10116,South,Sports,2023-12-16,2023-12-21,2023-12-23,Express,219.0,Delivered,2
117,OR10117,East,Fashion,2022-03-16,2022-03-18,2022-03-23,Standard,138.0,Delivered,5
118,OR10118,North,Electronics,2024-05-01,2024-05-04,2024-05-08,Standard,67.0,Delivered,4
119,OR10119,South,Beauty,2025-04-23,2025-04-23,2025-04-29,Express,223.0,Delayed,6
120,OR10120,South,Home,2022-02-21,2022-02-23,2022-02-27,Same Day,280.0,Delivered,4
121,OR10121,West,Beauty,2024-07-18,2024-07-22,2024-07-27,Standard,104.0,Delayed,5
122,OR10122,Central,Fashion,2022-08-27,2022-08-27,2022-09-03,Standard,143.0,Delayed,7
123,OR10123,East,Electronics,2023-09-18,2023-09-20,2023-09-28,Standard,95.0,Delivered,8
124,OR10124,North,Home,2024-12-21,2024-12-23,2025-01-02,Standard,138.0,Delayed,10
125,OR10125,West,Sports,2024-01-28,2024-01-29,2024-02-06,Standard,88.0,Delivered,8
126,OR10126,Central,Home,2023-12-27,2023-12-31,2024-01-03,Standard,51.0,Delivered,3
127,OR10127,West,Grocery,2024-09-09,2024-09-13,2024-09-15,Express,216.0,Delivered,2
128,OR10128,Central,Grocery,2024-09-15,2024-09-17,2024-09-27,Express,154.0,Delivered,10
129,OR10129,Central,Sports,2022-11-28,2022-12-03,2022-12-06,Standard,139.0,Delivered,3
130,OR10130,East,Sports,2022-06-08,2022-06-08,2022-06-16,Standard,80.0,Delivered,8
131,OR10131,Central,Fashion,2023-02-17,2023-02-18,2023-02-23,Standard,137.0,Returned,5
132,OR10132,West,Fashion,2022-10-14,2022-10-15,2022-10-20,Express,119.0,Delivered,5
133,OR10133,Central,Beauty,2023-06-08,2023-06-13,2023-06-18,Standard,100.0,Delivered,5
134,OR10134,East,Grocery,2024-09-28,2024-09-28,2024-10-03,Standard,101.0,Delayed,5
135,OR10135,East,Electronics,2024-10-11,2024-10-12,2024-10-22,Standard,128.0,Delivered,10
136,OR10136,West,Fashion,2022-11-09,2022-11-10,2022-11-20,Standard,94.0,Delayed,10
137,OR10137,South,Electronics,2022-01-27,2022-01-29,2022-02-04,Standard,139.0,Delivered,6
138,OR10138,South,Beauty,2024-04-18,2024-04-19,2024-04-26,Express,199.0,Delayed,7
139,OR10139,Central,Grocery,2025-10-21,2025-10-22,2025-10-29,Express,132.0,Delivered,7
140,OR10140,North,Fashion,2023-02-12,2023-02-12,2023-02-15,Express,175.0,Delivered,3
141,OR10141,Central,Electronics,2022-12-04,2022-12-05,2022-12-15,Express,217.0,Returned,10
142,OR10142,West,Beauty,2023-02-12,2023-02-12,2023-02-18,Express,248.0,Delivered,6
143,OR10143,West,Electronics,2025-01-04,2025-01-09,2025-01-12,Standard,129.0,Delivered,3
144,OR10144,West,Fashion,2022-03-16,2022-03-18,2022-03-23,Standard,90.0,Delivered,5
145,OR10145,West,Sports,2022-09-16,2022-09-16,2022-09-25,Standard,77.0,Delivered,9
146,OR10146,West,Beauty,2022-12-23,2022-12-24,2023-01-02,Express,99.0,Delivered,9
147,OR10147,East,Beauty,2022-10-12,2022-10-17,2022-10-20,Standard,58.0,Delivered,3
148,OR10148,South,Home,2025-12-10,2025-12-10,2025-12-14,Standard,70.0,Delivered,4
149,OR10149,West,Sports,2024-12-13,2024-12-15,2024-12-17,Standard,130.0,Delivered,2
150,OR10150,North,Beauty,2025-12-16,2025-12-21,2025-12-27,Standard,61.0,Delivered,6
151,OR10151,North,Home,2025-05-31,2025-05-31,2025-06-06,Standard,90.0,Delivered,6
152,OR10152,North,Electronics,2024-04-12,2024-04-16,2024-04-21,Standard,55.0,Delivered,5
153,OR10153,North,Fashion,2024-01-11,2024-01-16,2024-01-26,Standard,79.0,Delivered,10
154,OR10154,East,Beauty,2024-01-16,2024-01-17,2024-01-21,Express,89.0,Delivered,4
155,OR10155,North,Grocery,2022-09-03,2022-09-05,2022-09-14,Standard,93.0,Delivered,9
156,OR10156,West,Fashion,2024-08-12,2024-08-17,2024-08-22,Express,200.0,Delivered,5
157,OR10157,Central,Sports,2023-04-03,2023-04-05,2023-04-13,Express,142.0,Delivered,8
158,OR10158,North,Home,2022-07-02,2022-07-05,2022-07-09,Express,184.0,Delivered,4
159,OR10159,East,Fashion,2022-09-16,2022-09-20,2022-09-27,Standard,106.0,Delivered,7
160,OR10160,East,Home,2024-06-04,2024-06-05,2024-06-07,Standard,146.0,Delivered,2
161,OR10161,North,Sports,2022-09-27,2022-10-02,2022-10-10,Standard,131.0,Delayed,8
162,OR10162,Central,Sports,2024-03-23,2024-03-25,2024-03-29,Express,164.0,Delivered,4
163,OR10163,North,Fashion,2023-09-13,2023-09-18,2023-09-23,Standard,98.0,Delivered,5
164,OR10164,East,Beauty,2022-12-17,2022-12-22,2022-12-27,Standard,116.0,Delivered,5
165,OR10165,South,Grocery,2025-04-26,2025-05-01,2025-05-08,Express,147.0,Delivered,7
166,OR10166,West,Beauty,2023-05-17,2023-05-22,2023-06-01,Standard,107.0,Delivered,10
167,OR10167,East,Grocery,2025-04-15,2025-04-20,2025-04-26,Same Day,300.0,Delivered,6
168,OR10168,North,Home,2025-11-17,2025-11-17,2025-11-27,Express,164.0,Delivered,10
169,OR10169,West,Fashion,2024-04-17,2024-04-18,2024-04-25,Standard,97.0,Delivered,7
170,OR10170,North,Electronics,2024-10-18,2024-10-20,2024-10-22,Standard,100.0,Delivered,2
171,OR10171,North,Sports,2025-10-04,2025-10-05,2025-10-12,Standard,52.0,Delivered,7
172,OR10172,South,Beauty,2024-12-22,2024-12-26,2025-01-03,Same Day,317.0,Delayed,8
173,OR10173,West,Home,2022-06-29,2022-07-03,2022-07-08,Express,120.0,Delivered,5
174,OR10174,West,Sports,2025-08-27,2025-08-29,2025-08-31,Express,83.0,Delivered,2
175,OR10175,South,Home,2023-09-17,2023-09-21,2023-09-24,Express,97.0,Delivered,3
176,OR10176,East,Fashion,2025-02-07,2025-02-12,2025-02-20,Standard,85.0,Delivered,8
177,OR10177,North,Home,2023-05-30,2023-06-04,2023-06-12,Express,162.0,Delivered,8
178,OR10178,Central,Home,2022-09-15,2022-09-19,2022-09-27,Express,206.0,Delivered,8
179,OR10179,North,Electronics,2023-06-24,2023-06-27,2023-06-30,Standard,129.0,Delivered,3
180,OR10180,North,Home,2023-02-25,2023-02-26,2023-03-03,Standard,139.0,Delayed,5
181,OR10181,East,Grocery,2022-09-05,2022-09-06,2022-09-13,Standard,81.0,Delivered,7
182,OR10182,North,Home,2024-10-29,2024-10-30,2024-11-09,Standard,142.0,Delivered,10
183,OR10183,South,Home,2025-08-04,2025-08-05,2025-08-11,Standard,139.0,Delivered,6
184,OR10184,South,Fashion,2023-04-10,2023-04-15,2023-04-25,Standard,82.0,Delayed,10
185,OR10185,West,Home,2025-01-03,2025-01-06,2025-01-11,Same Day,269.0,Delivered,5
186,OR10186,Central,Electronics,2022-04-12,2022-04-13,2022-04-22,Standard,133.0,Delivered,9
187,OR10187,North,Fashion,2023-05-26,2023-05-30,2023-06-04,Express,81.0,Delivered,5
188,OR10188,North,Sports,2022-10-18,2022-10-23,2022-10-29,Standard,113.0,Delivered,6
189,OR10189,East,Grocery,2022-05-03,2022-05-07,2022-05-15,Standard,65.0,Delivered,8
190,OR10190,South,Grocery,2023-03-06,2023-03-10,2023-03-17,Standard,68.0,Delayed,7
191,OR10191,Central,Sports,2025-09-01,2025-09-03,2025-09-08,Standard,51.0,Delivered,5
192,OR10192,West,Home,2025-02-18,2025-02-22,2025-03-02,Standard,109.0,Delivered,8
193,OR10193,South,Electronics,2022-08-20,2022-08-20,2022-08-28,Express,209.0,Delivered,8
194,OR10194,West,Electronics,2024-11-12,2024-11-15,2024-11-19,Standard,78.0,Delivered,4
195,OR10195,East,Electronics,2023-04-07,2023-04-12,2023-04-15,Express,249.0,Delayed,3
196,OR10196,East,Electronics,2023-08-12,2023-08-17,2023-08-26,Express,119.0,Delayed,9
197,OR10197,North,Home,2024-08-08,2024-08-08,2024-08-17,Standard,56.0,Delayed,9
198,OR10198,Central,Sports,2025-08-08,2025-08-13,2025-08-17,Standard,67.0,Delivered,4
199,OR10199,West,Sports,2023-12-29,2024-01-02,2024-01-10,Standard,57.0,Delivered,8
200,OR10200,South,Grocery,2023-09-01,2023-09-04,2023-09-14,Standard,79.0,Delivered,10
201,OR10201,East,Sports,2024-05-30,2024-06-02,2024-06-12,Standard,131.0,Delivered,10
202,OR10202,North,Electronics,2022-07-18,2022-07-19,2022-07-24,Standard,137.0,Delivered,5
203,OR10203,North,Home,2022-05-17,2022-05-20,2022-05-27,Express,188.0,Delivered,7
204,OR10204,West,Fashion,2025-10-25,2025-10-29,2025-11-04,Same Day,389.0,Delivered,6
205,OR10205,East,Fashion,2022-01-21,2022-01-26,2022-02-05,Express,150.0,Delivered,10
206,OR10206,Central,Electronics,2022-06-09,2022-06-09,2022-06-15,Standard,59.0,Delivered,6
207,OR10207,East,Beauty,2022-11-18,2022-11-21,2022-12-01,Standard,144.0,Delivered,10
208,OR10208,West,Grocery,2022-10-27,2022-10-28,2022-11-05,Express,134.0,Delivered,8
209,OR10209,West,Fashion,2023-09-25,2023-09-30,2023-10-06,Standard,120.0,Delayed,6
210,OR10210,East,Beauty,2023-12-06,2023-12-10,2023-12-13,Standard,140.0,Delivered,3
211,OR10211,West,Electronics,2023-04-04,2023-04-05,2023-04-15,Standard,98.0,Delivered,10
212,OR10212,East,Home,2025-09-21,2025-09-22,2025-09-30,Express,153.0,Delayed,8
213,OR10213,South,Fashion,2023-12-28,2023-12-31,2024-01-04,Express,156.0,Delivered,4
214,OR10214,East,Electronics,2023-10-17,2023-10-18,2023-10-27,Standard,70.0,Delivered,9
215,OR10215,East,Fashion,2023-10-29,2023-11-01,2023-11-11,Express,146.0,Delivered,10
216,OR10216,West,Home,2022-01-16,2022-01-17,2022-01-21,Same Day,249.0,Returned,4
217,OR10217,West,Sports,2022-10-29,2022-10-31,2022-11-10,Standard,71.0,Delivered,10
218,OR10218,North,Sports,2025-10-14,2025-10-19,2025-10-21,Standard,52.0,Delivered,2
219,OR10219,North,Home,2024-08-01,2024-08-06,2024-08-12,Standard,126.0,Delivered,6
220,OR10220,South,Home,2022-01-19,2022-01-23,2022-02-01,Express,198.0,Delivered,9
221,OR10221,North,Sports,2023-08-25,2023-08-28,,Standard,121.0,Delivered,8
222,OR10222,East,Home,2022-11-05,2022-11-08,2022-11-13,Standard,80.0,Delayed,5
223,OR10223,West,Home,2022-02-16,2022-02-20,2022-02-22,Standard,82.0,Delivered,2
224,OR10224,North,Home,2022-05-11,2022-05-14,2022-05-16,Standard,77.0,Delayed,2
225,OR10225,North,Sports,2022-03-29,2022-04-02,2022-04-10,Same Day,295.0,Delivered,8
226,OR10226,South,Sports,2022-12-08,2022-12-08,2022-12-15,Standard,71.0,Delayed,7
227,OR10227,South,Beauty,2022-03-03,2022-03-05,2022-03-11,Standard,113.0,Delivered,6
228,OR10228,East,Fashion,2022-05-09,2022-05-12,2022-05-20,Standard,107.0,Delivered,8
229,OR10229,West,Sports,2022-02-08,2022-02-13,2022-02-20,Express,175.0,Delayed,7
230,OR10230,South,Fashion,2025-03-30,2025-03-30,2025-04-03,Standard,58.0,Delivered,4
231,OR10231,North,Sports,2024-03-01,2024-03-06,,Express,237.0,Delivered,3
232,OR10232,West,Grocery,2024-12-08,2024-12-13,2024-12-15,Standard,132.0,Delivered,2
233,OR10233,West,Fashion,2023-09-29,2023-10-04,2023-10-14,Express,205.0,Delivered,10
234,OR10234,North,Home,2024-08-02,2024-08-07,2024-08-17,Standard,110.0,Delivered,10
235,OR10235,South,Grocery,2024-01-09,2024-01-11,2024-01-14,Express,157.0,Delivered,3
236,OR10236,North,Beauty,2025-08-21,2025-08-22,2025-08-30,Standard,133.0,Delivered,8
237,OR10237,West,Sports,2023-01-29,2023-02-03,2023-02-12,Express,242.0,Delayed,9
238,OR10238,Central,Sports,2022-12-18,2022-12-20,2022-12-23,Standard,103.0,Delivered,3
239,OR10239,Central,Beauty,2024-04-13,2024-04-18,2024-04-21,Express,150.0,Delivered,3
240,OR10240,East,Grocery,2022-03-12,2022-03-15,2022-03-19,Standard,95.0,Delivered,4
241,OR10241,North,Electronics,2024-09-10,2024-09-11,2024-09-19,Same Day,330.0,Delivered,8
242,OR10242,North,Home,2022-02-08,2022-02-09,2022-02-18,Express,220.0,Delivered,9
243,OR10243,East,Fashion,2024-07-26,2024-07-26,2024-08-03,Express,120.0,Delayed,8
244,OR10244,East,Grocery,2025-01-28,2025-02-01,2025-02-05,Standard,144.0,Delivered,4
245,OR10245,East,Fashion,2023-05-28,2023-05-28,2023-06-06,Standard,99.0,Delivered,9
246,OR10246,West,Sports,2023-11-07,2023-11-08,2023-11-10,Same Day,283.0,Delivered,2
247,OR10247,North,Electronics,2024-09-13,2024-09-15,2024-09-22,Standard,55.0,Delivered,7
248,OR10248,West,Beauty,2023-11-15,2023-11-18,2023-11-28,Express,97.0,Delivered,10
249,OR10249,East,Electronics,2025-01-25,2025-01-30,2025-02-07,Express,187.0,Delayed,8
250,OR10250,North,Fashion,2023-09-14,2023-09-14,2023-09-17,Standard,71.0,Delivered,3
251,OR10251,West,Beauty,2023-11-29,2023-11-30,2023-12-02,Standard,129.0,Delivered,2
252,OR10252,West,Sports,2024-09-18,2024-09-20,2024-09-29,Same Day,364.0,Delayed,9
253,OR10253,East,Beauty,2025-11-12,2025-11-13,2025-11-17,Standard,131.0,Delivered,4
254,OR10254,North,Beauty,2023-05-27,2023-05-27,2023-06-02,Standard,112.0,Delivered,6
255,OR10255,East,Electronics,2024-12-12,2024-12-16,2024-12-22,Standard,139.0,Delivered,6
256,OR10256,North,Home,2023-04-18,2023-04-19,2023-04-29,Express,91.0,Delivered,10
257,OR10257,Central,Sports,2022-07-04,2022-07-09,2022-07-18,Standard,118.0,Delivered,9
258,OR10258,South,Grocery,2022-07-20,2022-07-22,2022-07-25,Express,100.0,Delayed,3
259,OR10259,South,Grocery,2022-03-19,2022-03-20,2022-03-23,Express,104.0,Delivered,3
260,OR10260,South,Grocery,2022-09-05,2022-09-05,2022-09-11,Standard,107.0,Delivered,6
261,OR10261,East,Home,2025-12-28,2025-12-31,2026-01-06,Express,103.0,Delivered,6
262,OR10262,Central,Sports,2024-02-12,2024-02-17,2024-02-25,Standard,53.0,Delayed,8
263,OR10263,North,Beauty,2024-03-30,2024-04-02,2024-04-11,Standard,144.0,Delayed,9
264,OR10264,West,Fashion,2024-07-01,2024-07-06,2024-07-11,Standard,58.0,Delivered,5
265,OR10265,North,Fashion,2022-02-01,2022-02-02,2022-02-06,Standard,137.0,Delivered,4
266,OR10266,West,Sports,2023-03-29,2023-04-01,2023-04-06,Standard,51.0,Delivered,5
267,OR10267,North,Home,2023-01-16,2023-01-21,2023-01-25,Express,192.0,Delivered,4
268,OR10268,Central,Sports,2024-08-14,2024-08-17,2024-08-27,Standard,83.0,Delivered,10
269,OR10269,West,Fashion,2025-11-18,2025-11-23,2025-11-25,Express,225.0,Delivered,2
270,OR10270,East,Sports,2023-02-11,2023-02-14,2023-02-20,Standard,56.0,Delayed,6
271,OR10271,North,Grocery,2024-05-30,2024-05-30,2024-06-02,Express,85.0,Delivered,3
272,OR10272,North,Beauty,2025-04-19,2025-04-24,2025-04-30,Standard,137.0,Delivered,6
273,OR10273,West,Sports,2022-11-13,2022-11-17,2022-11-25,Express,211.0,Delivered,8
274,OR10274,East,Beauty,2023-10-21,2023-10-26,2023-10-30,Standard,82.0,Returned,4
275,OR10275,East,Electronics,2024-07-30,2024-08-04,2024-08-08,Standard,73.0,Delivered,4
276,OR10276,Central,Sports,2023-11-03,2023-11-03,2023-11-08,Standard,57.0,Returned,5
277,OR10277,East,Fashion,2025-08-18,2025-08-18,2025-08-23,Standard,145.0,Delivered,5
278,OR10278,East,Fashion,2023-07-28,2023-08-01,2023-08-09,Standard,91.0,Delivered,8
279,OR10279,East,Beauty,2024-05-09,2024-05-11,2024-05-14,Standard,112.0,Delivered,3
280,OR10280,South,Fashion,2025-08-26,2025-08-28,2025-09-06,Same Day,325.0,Delivered,9
281,OR10281,Central,Grocery,2023-12-28,2024-01-01,2024-01-09,Standard,90.0,Delayed,8
